Orthogroup	GCA_000320725.1	GCA_000838105.1	GCA_000839605.1	GCA_000839765.1	GCA_000841005.1	GCA_000844425.1	GCA_000844885.1	GCA_000846105.1	GCA_000846905.1	GCA_000847045.1	GCA_000848865.1	GCA_000865825.1	GCA_000865845.1	GCA_000867605.1	GCA_000867825.1	GCA_000868565.1	GCA_000869125.1	GCA_000869685.1	GCA_000871245.1	GCA_000871485.1	GCA_000872425.2	GCA_000873685.1	GCA_000874805.1	GCA_000881595.1	GCA_000885975.1	GCA_000887095.1	GCA_000887855.1	GCA_000888735.1	GCA_000888835.1	GCA_000889395.1	GCA_000889515.1	GCA_000890375.1	GCA_000891235.1	GCA_000893455.1	GCA_000893915.1	GCA_000893915.2	GCA_000897115.1	GCA_000903055.1	GCA_000904035.1	GCA_000905435.1	GCA_000906035.1	GCA_000906615.1	GCA_000909775.1	GCA_000911655.1	GCA_000911955.1	GCA_000914535.1	GCA_000915575.1	GCA_000916235.1	GCA_000916835.1	GCA_000917075.1	GCA_000918955.1	GCA_000923155.1	GCA_000924835.1	GCA_000928575.1	GCA_001274405.1	GCA_001399225.1	GCA_001399265.1	GCA_001399285.1	GCA_001430035.1	GCA_001430255.1	GCA_001430455.1	GCA_001430655.1	GCA_001448375.1	GCA_001500815.1	GCA_001503855.1	GCA_001551185.1	GCA_001579395.1	GCA_001602085.1	GCA_001654305.1	GCA_001678255.1	GCA_001717415.1	GCA_001806195.1	GCA_001887825.1	GCA_001974475.1	GCA_001995575.1	GCA_002005685.1	GCA_002114025.1	GCA_002614085.1	GCA_002614105.1	GCA_002818865.1	GCA_002818885.1	GCA_002826565.1	GCA_002826585.1	GCA_002826605.1	GCA_002826725.1	GCA_002827565.1	GCA_002827585.1	GCA_002827605.1	GCA_002827625.1	GCA_002827645.1	GCA_002827665.1	GCA_002827685.1	GCA_002827705.1	GCA_002827725.1	GCA_002827745.1	GCA_002833625.1	GCA_002833685.1	GCA_002833765.1	GCA_002833785.1	GCA_002833805.1	GCA_002833825.1	GCA_002892525.1	GCA_002924545.1	GCA_002924555.1	GCA_002937195.1	GCA_002966195.1	GCA_002966215.1	GCA_002966235.1	GCA_002966255.1	GCA_002966275.1	GCA_002966295.1	GCA_002966315.1	GCA_002966335.1	GCA_002966345.1	GCA_002966355.1	GCA_002966365.1	GCA_002966375.1	GCA_002966385.1	GCA_002966395.1	GCA_002966405.1	GCA_002966415.1	GCA_002966425.1	GCA_002966435.1	GCA_002966445.1	GCA_002966455.1	GCA_002966465.1	GCA_002966475.2	GCA_002966485.2	GCA_003033105.1	GCA_003051125.1	GCA_003051145.1	GCA_003051165.1	GCA_003051185.1	GCA_003051205.1	GCA_003051225.1	GCA_003051645.1	GCA_003051685.1	GCA_003051705.1	GCA_003069485.1	GCA_003071505.1	GCA_003093215.1	GCA_003093235.1	GCA_003093255.1	GCA_003093275.1	GCA_003093295.1	GCA_003093315.1	GCA_003093335.1	GCA_003093355.1	GCA_003093375.1	GCA_003093395.1	GCA_003093415.1	GCA_003093435.1	GCA_003093455.1	GCA_003093475.1	GCA_003093495.1	GCA_003093515.1	GCA_003093535.1	GCA_003093555.1	GCA_003093575.1	GCA_003093595.1	GCA_003093615.1	GCA_003093635.1	GCA_003093655.1	GCA_003093675.1	GCA_003093695.1	GCA_003093715.1	GCA_003093735.1	GCA_003093755.1	GCA_003093775.1	GCA_003093795.1	GCA_003093815.1	GCA_003093835.1	GCA_003093855.1	GCA_003225875.1	GCA_003225935.1	GCA_003225975.1	GCA_003226015.1	GCA_003226055.1	GCA_003233895.1	GCA_003233915.1	GCA_003233935.1	GCA_003258235.1	GCA_003328545.1	GCA_003328565.1	GCA_003328585.1	GCA_003328605.1	GCA_003333125.1	GCA_003333145.1	GCA_003333165.1	GCA_003333185.1	GCA_003333205.1	GCA_003333225.1	GCA_003333245.1	GCA_003726615.1	GCA_003814025.1	GCA_003814045.1	GCA_003814065.1	GCA_003814085.1	GCA_003814105.1	GCA_003814125.1	GCA_003814145.1	GCA_003814165.1	GCA_003814185.1	GCA_003814205.1	GCA_003814225.1	GCA_003814265.1	GCA_003815115.1	GCA_003815135.1	GCA_003815155.1	GCA_004131025.1	GCA_004151645.2	GCA_004156275.1	GCA_004156295.1	GCA_004788555.1	GCA_006118515.1	GCA_006449455.1	GCA_006449475.1	GCA_006449495.1	GCA_006449655.1	GCA_006449695.1	GCA_006450455.1	GCA_006450515.1	GCA_006450685.1	GCA_006450755.1	GCA_006450775.1	GCA_006450795.1	GCA_006451095.1	GCA_006451505.1	GCA_006451625.1	GCA_006451655.1	GCA_006451765.1	GCA_006451795.1	GCA_006451855.1	GCA_006451895.1	GCA_006451955.1	GCA_006452115.1	GCA_006452135.1	GCA_006452155.1	GCA_006457375.3	GCA_006457465.1	GCA_006457485.1	GCA_006457505.1	GCA_006457525.1	GCA_006457685.1	GCA_006457705.1	GCA_006457745.1	GCA_006457865.1	GCA_006457885.1	GCA_006457945.1	GCA_006458085.1	GCA_006458125.1	GCA_006458485.1	GCA_006458685.1	GCA_006458705.1	GCA_006458785.1	GCA_006465445.1	GCA_006465465.1	GCA_006465505.1	GCA_006465545.1	GCA_006465685.1	GCA_006466025.1	GCA_006471825.1	GCA_006471845.1	GCA_006472045.1	GCA_006472065.1	GCA_006472105.1	GCA_006472125.1	GCA_006472165.1	GCA_006472245.1	GCA_006472265.1	GCA_006472285.1	GCA_006472305.1	GCA_006472325.1	GCA_006472365.1	GCA_006472405.1	GCA_006472465.1	GCA_006472485.1	GCA_006472525.1	GCA_007832555.1	GCA_007832575.1	GCA_007832595.1	GCA_007832615.1	GCA_007832635.1	GCA_007832655.1	GCA_007832675.1	GCA_007832695.1	GCA_007832715.1	GCA_007832735.1	GCA_007832755.1	GCA_007832775.1	GCA_007832795.1	GCA_007832815.1	GCA_007832835.1	GCA_007832855.1	GCA_007832875.1	GCA_007832895.1	GCA_007832915.1	GCA_007832935.1	GCA_007832955.1	GCA_007832975.1	GCA_007832995.1	GCA_007833015.1	GCA_007833035.1	GCA_007833055.1	GCA_007833075.1	GCA_007833095.1	GCA_007998595.1	GCA_007998615.1	GCA_007998635.1	GCA_007998655.1	GCA_007998675.1	GCA_007998695.1	GCA_007998715.1	GCA_007998735.1	GCA_007998755.1	GCA_007998775.1	GCA_007998795.1	GCA_007998815.1	GCA_007998835.1	GCA_007998855.1	GCA_007998875.1	GCA_007998895.1	GCA_007998915.1	GCA_007998935.1	GCA_010974645.1	GCA_010974655.1	GCA_010974665.1	GCA_010974675.1	GCA_010974685.1	GCA_010974695.1	GCA_010974705.1	GCA_011559005.1	GCA_011604415.1	GCA_011604425.1	GCA_011604435.1	GCA_011894875.1	GCA_012923495.1	GCA_013088635.1	GCA_013088675.1	GCA_013122635.1	GCA_013122655.1	GCA_013187195.1	GCA_013187205.1	GCA_013187215.1	GCA_013187225.1	GCA_013187235.1	GCA_013187245.1	GCA_013187255.1	GCA_013267925.1	GCA_013306605.1	GCA_013306615.1	GCA_013306625.1	GCA_013306635.1	GCA_013306645.1	GCA_013306665.1	GCA_013306685.1	GCA_013306705.1	GCA_013354225.1	GCA_013490715.1	GCA_014514145.1	GCA_014514155.1	GCA_014514205.1	GCA_014514235.1	GCA_014514245.1	GCA_014514255.1	GCA_014514305.1	GCA_014514315.1	GCA_014514345.1	GCA_014514375.1	GCA_014514405.1	GCA_014514415.1	GCA_014514445.1	GCA_014514495.1	GCA_014514525.1	GCA_014858805.1	GCA_016103525.1	GCA_016103535.1	GCA_016455495.1	GCA_016467525.1	GCA_016583485.1	GCA_016811285.1	GCA_016811295.1	GCA_017654225.1	GCA_018448615.1	GCA_018448625.1	GCA_018591055.1	GCA_019176245.1	GCA_019176255.1	GCA_019333625.1	GCA_021351675.1	GCA_021351685.1	GCA_022585115.1	GCA_022694475.2	GCA_023148555.1	GCA_024266865.1	GCA_024637765.1	GCA_024703195.1	GCA_024723245.1	GCA_024735215.1	GCA_025838275.1	GCA_026411265.1	GCA_026411275.1	GCA_026411285.1	GCA_027183835.1	GCA_027183865.1	GCA_027571825.1	GCA_027920715.1	GCA_029269695.1	GCA_029376335.1	GCA_029885335.1	GCA_029891415.1	GCA_029982575.1	GCA_030143515.1	GCA_030515945.1	GCA_031190075.1	GCA_031198525.1	GCA_031199635.1	GCA_031200085.1	GCA_031200605.1	GCA_031201865.1	GCA_031232825.1	GCA_031242955.1	GCA_031246425.1	GCA_031259775.1	GCA_031264575.1	GCA_031264615.1	GCA_031281425.1	GCA_031287495.1	GCA_031301755.1	GCA_031308775.1	GCA_031310605.1	GCA_031310675.1	GCA_031319315.1	GCA_031320165.1	GCA_031322145.1	GCA_031322225.1	GCA_031781565.1	GCA_032138105.1	GCA_036418385.1	GCA_036418395.1	GCA_036418505.1	GCA_036418515.1	GCA_036979605.1	GCA_038022575.1	GCA_038022855.1	GCA_038022865.1	GCA_900176665.1	GCA_900205285.1	GCA_900323535.1	GCA_900323555.1	GCA_900573915.1
OG0006238	EJN40907.1|GCA_000320725.1|Acanthamoeba_polyphaga_lentillevirus																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
OG0006239				AAF28324.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1143																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006240				AAF28325.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1144																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006241				AAG21806.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV185																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006242				AAK14435.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV19																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006243				AAK14437.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV111																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006244				AAK14438.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV112																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006245				AAK14445.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV119																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006246				AAK14450.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV124																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006247				AAK14451.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV125																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006248				AAK14453.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV127																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006249				AAK14459.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV133																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006250				AAK14460.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV134																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006251				AAK14462.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV136																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006252				AAK14475.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV149																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006253				AAK14479.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV153																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006254				AAK14495.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV172																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006255				AAK14497.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV174																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006256				AAK14510.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV192																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006257				AAK14512.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV194																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006258				AAK14520.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1102																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006259				AAK14524.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1106																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006260				AAK14531.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1113																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006261				AAK14533.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1115																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006262				AAK14536.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1118																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006263				AAK14540.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1122																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006264				AAK14542.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1124																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006265				AAK14545.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1127																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006266				AAK14549.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1131																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006267				AAK14551.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1133																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006268				AAK14552.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1134																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006269				AAK14560.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1145																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006270				AAK14562.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1147																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006271				AAK14563.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1148																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006272				AAK14565.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1150																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006273				AAK14567.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1152																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006274				AAK14577.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1163																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006275				AAK14588.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1174																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006276				AAK14593.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1179																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006277				AAK14597.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1183																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006278				AAK14602.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1188																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006279				AAK14603.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1189																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006280				AAK14604.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1190																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006281				AAK14605.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1191																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006282				AAK14608.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1194																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006283				AAK14611.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1197																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006284				AAK14614.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1200																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006285				AAK14617.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1203																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006286				AAK14620.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1206																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006287				AAK14623.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1209																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006288				AAK14630.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1216																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006289				AAK14640.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1227																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006290				AAK14642.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1229																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006291				AAK14644.1|GCA_000839765.1|Ectocarpus_siliculosus_virus_1|annotated|EsV1231																																																																																																																																																																																																																																																																																																																																																																																																																																																															
OG0006292							AAU10853.1|GCA_000844885.1|lymphocystis_disease_virus-China																																																																																																																																																																																																																																																																																																																																																																																																																																																												
OG0006293							AAU10923.1|GCA_000844885.1|lymphocystis_disease_virus-China																																																																																																																																																																																																																																																																																																																																																																																																																																																												
